ECS_Version,Indexed,Field_Set,Field,Type,Level,Normalization,Example,Description
1.5.0-dev,true,host,host.geo.location,geo_point,core,,"{ ""lon"": -73.614830, ""lat"": 45.505918 }",Longitude and latitude.
1.5.0-dev,true,host,host.geo.name,keyword,extended,,boston-dc,User-defined description of a location.
1.5.0-dev,true,host,host.geo.region_iso_code,keyword,core,,CA-QC,Region ISO code.
1.5.0-dev,true,host,host.geo.region_name,keyword,core,,Quebec,Region name.
1.5.0-dev,true,host,host.hostname,keyword,core,,,Hostname of the host.
1.5.0-dev,true,host,host.id,keyword,core,,,Unique host id.
1.5.0-dev,true,host,host.ip,ip,core,array,,Host ip addresses.
1.5.0-dev,true,host,host.mac,keyword,core,array,,Host mac addresses.
1.5.0-dev,true,host,host.name,keyword,core,,,Name of the host.
1.5.0-dev,true,host,host.os.family,keyword,extended,,debian,"OS family (such as redhat, debian, freebsd, windows)."
1.5.0-dev,true,host,host.os.full,keyword,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
1.5.0-dev,true,host,host.os.full.text,text,extended,,Mac OS Mojave,"Operating system name, including the version or code name."
1.5.0-dev,true,host,host.os.kernel,keyword,extended,,4.4.0-112-generic,Operating system kernel version as a raw string.
1.5.0-dev,true,host,host.os.name,keyword,extended,,Mac OS X,"Operating system name, without the version."
1.5.0-dev,true,host,host.os.name.text,text,extended,,Mac OS X,"Operating system name, without the version."
1.5.0-dev,true,host,host.os.platform,keyword,extended,,darwin,"Operating system platform (such centos, ubuntu, windows)."
1.5.0-dev,true,host,host.os.version,keyword,extended,,10.14.1,Operating system version as a raw string.
1.5.0-dev,true,host,host.type,keyword,core,,,Type of host.
1.5.0-dev,true,host,host.uptime,long,extended,,1325,Seconds the host has been up.
1.5.0-dev,true,host,host.user.domain,keyword,extended,,,Name of the directory the user is a member of.
1.5.0-dev,true,host,host.user.email,keyword,extended,,,User email address.
1.5.0-dev,true,host,host.user.full_name,keyword,extended,,Albert Einstein,"User's full name, if available."
1.5.0-dev,true,host,host.user.full_name.text,text,extended,,Albert Einstein,"User's full name, if available."
1.5.0-dev,true,host,host.user.group.domain,keyword,extended,,,Name of the directory the group is a member of.
1.5.0-dev,true,host,host.user.group.id,keyword,extended,,,Unique identifier for the group on the system/platform.
1.5.0-dev,true,host,host.user.group.name,keyword,extended,,,Name of the group.
1.5.0-dev,true,host,host.user.hash,keyword,extended,,,Unique user hash to correlate information for a user in anonymized form.
1.5.0-dev,true,host,host.user.id,keyword,core,,,Unique identifiers of the user.
1.5.0-dev,true,host,host.user.name,keyword,core,,albert,Short name or login of the user.
1.5.0-dev,true,host,host.user.name.text,text,core,,albert,Short name or login of the user.
1.5.0-dev,true,process,process.args,keyword,extended,array,"['/usr/bin/ssh', '-l', 'user', '10.0.0.16']",Array of process arguments.
1.5.0-dev,true,process,process.args_count,long,extended,,4,Length of the process.args array.
1.5.0-dev,true,process,process.argv_list,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode,nested,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_signer.issuer_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_signer.serial_number,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_signer.subject_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_signer.timestamp_string,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_timestamp.issuer_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_timestamp.serial_number,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_timestamp.subject_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.cert_timestamp.timestamp_string,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.more_info_link,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.program_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.authenticode.publisher_link,keyword,custom,,,TODO
1.5.0-dev,true,process,process.code_signature.exists,boolean,core,,true,Boolean to capture if a signature is present.
1.5.0-dev,true,process,process.code_signature.status,keyword,extended,,ERROR_UNTRUSTED_ROOT,Additional information about the certificate status.
1.5.0-dev,true,process,process.code_signature.subject_name,keyword,core,,Microsoft Corporation,Subject name of the code signer
1.5.0-dev,true,process,process.code_signature.trusted,boolean,extended,,true,Stores the trust status of the certificate chain.
1.5.0-dev,true,process,process.code_signature.valid,boolean,extended,,true,Boolean to capture if the digital signature is verified against the binary content.
1.5.0-dev,true,process,process.command_line,keyword,extended,,/usr/bin/ssh -l user 10.0.0.16,Full command line that started the process.
1.5.0-dev,true,process,process.command_line.text,text,extended,,/usr/bin/ssh -l user 10.0.0.16,Full command line that started the process.
1.5.0-dev,true,process,process.cpu_percent,double,custom,,,TODO
1.5.0-dev,true,process,process.cwd,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions,nested,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack,nested,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.instruction_pointer,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.memory_section.memory_address,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.memory_section.memory_size,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.memory_section.protection,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.module_path,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.rva,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.call_stack.symbol_info,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.delta_count,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.evasion_subtype,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.evasion_type,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.instruction_pointer,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.memory_sections,nested,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.memory_sections.memory_address,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.memory_sections.memory_size,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.memory_sections.protection,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.module_path,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.thread.thread_id,long,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.thread.thread_start_address,keyword,custom,,,TODO
1.5.0-dev,true,process,process.defense_evasions.total_memory_size,keyword,custom,,,TODO
1.5.0-dev,true,process,process.domain,keyword,custom,,,TODO
1.5.0-dev,true,process,process.entity_id,keyword,extended,,c2c455d9f99375d,Unique identifier for the process.
1.5.0-dev,true,process,process.env_variables,keyword,custom,,,TODO
1.5.0-dev,true,process,process.executable,keyword,extended,,/usr/bin/ssh,Absolute path to the process executable.
1.5.0-dev,true,process,process.executable.text,text,extended,,/usr/bin/ssh,Absolute path to the process executable.
1.5.0-dev,true,process,process.exit_code,long,extended,,137,The exit code of the process.
1.5.0-dev,true,process,process.file_hash.imphash,keyword,custom,,,Imphash.
1.5.0-dev,true,process,process.file_hash.md5,keyword,custom,,,MD5 hash.
1.5.0-dev,true,process,process.file_hash.sha1,keyword,custom,,,SHA1 hash.
1.5.0-dev,true,process,process.file_hash.sha256,keyword,custom,,,SHA256 hash.
1.5.0-dev,true,process,process.file_hash.sha512,keyword,custom,,,SHA512 hash.
1.5.0-dev,true,process,process.gid,long,custom,,,TODO
1.5.0-dev,true,process,process.group,keyword,custom,,,TODO
1.5.0-dev,true,process,process.handles,nested,custom,,,TODO
1.5.0-dev,true,process,process.handles.handle_id,long,custom,,,TODO
1.5.0-dev,true,process,process.handles.handle_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.handles.handle_type,keyword,custom,,,TODO
1.5.0-dev,true,process,process.has_unbacked_execute_memory,boolean,custom,,,TODO
1.5.0-dev,true,process,process.hash.imphash,keyword,extended,,,Imphash.
1.5.0-dev,true,process,process.hash.md5,keyword,extended,,,MD5 hash.
1.5.0-dev,true,process,process.hash.sha1,keyword,extended,,,SHA1 hash.
1.5.0-dev,true,process,process.hash.sha256,keyword,extended,,,SHA256 hash.
1.5.0-dev,true,process,process.hash.sha512,keyword,extended,,,SHA512 hash.
1.5.0-dev,true,process,process.hash_matched_module,boolean,custom,,,TODO
1.5.0-dev,true,process,process.is_endpoint,boolean,custom,,,Is this the Elastic Endpoint process or not.
1.5.0-dev,true,process,process.malware_classification.compressed_malware_features.data_buffer,keyword,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.compressed_malware_features.decompressed_size,integer,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.compressed_malware_features.encoding,keyword,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.identifier,keyword,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.prevention_threshold,double,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.score,double,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.threshold,double,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.upx_packed,boolean,custom,,,TODO
1.5.0-dev,true,process,process.malware_classification.version,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_percent,double,custom,,,TODO
1.5.0-dev,true,process,process.memory_region,nested,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.allocation_base,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.allocation_protection,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.bytes,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.histogram,nested,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.histogram.histogram_array,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.histogram.histogram_flavor,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.histogram.histogram_resolution,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.length,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.memory,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.memory_address,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.module_path,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.permission,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.protection,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.region_base,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.region_size,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.region_tag,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.type,keyword,custom,,,TODO
1.5.0-dev,true,process,process.memory_region.unbacked_on_disk,boolean,custom,,,TODO
1.5.0-dev,true,process,process.modules,nested,custom,,,These fields contain information about a list of modules.
1.5.0-dev,true,process,process.modules.architecture,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode,nested,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_signer.issuer_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_signer.serial_number,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_signer.subject_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_signer.timestamp_string,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_timestamp.issuer_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_timestamp.serial_number,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_timestamp.subject_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.cert_timestamp.timestamp_string,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.more_info_link,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.program_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.authenticode.publisher_link,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.compile_time,date,custom,,,TODO
1.5.0-dev,true,process,process.modules.hash.imphash,keyword,extended,,,Imphash.
1.5.0-dev,true,process,process.modules.hash.md5,keyword,extended,,,MD5 hash.
1.5.0-dev,true,process,process.modules.hash.sha1,keyword,extended,,,SHA1 hash.
1.5.0-dev,true,process,process.modules.hash.sha256,keyword,extended,,,SHA256 hash.
1.5.0-dev,true,process,process.modules.hash.sha512,keyword,extended,,,SHA512 hash.
1.5.0-dev,true,process,process.modules.malware_classification.compressed_malware_features.data_buffer,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.malware_classification.compressed_malware_features.decompressed_size,integer,custom,,,TODO
1.5.0-dev,true,process,process.modules.malware_classification.compressed_malware_features.encoding,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.malware_classification.identifier,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.malware_classification.prevention_threshold,double,custom,,,TODO
1.5.0-dev,true,process,process.modules.malware_classification.score,double,custom,,,TODO
1.5.0-dev,true,process,process.modules.malware_classification.threshold,double,custom,,,TODO
1.5.0-dev,true,process,process.modules.malware_classification.upx_packed,boolean,custom,,,TODO
1.5.0-dev,true,process,process.modules.malware_classification.version,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.mapped_address,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.mapped_size,long,custom,,,TODO
1.5.0-dev,true,process,process.modules.path,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.pe_exports,nested,custom,,,TODO
1.5.0-dev,true,process,process.modules.pe_exports.name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.pe_exports.ordinal,long,custom,,,TODO
1.5.0-dev,true,process,process.modules.pe_imports,nested,custom,,,TODO
1.5.0-dev,true,process,process.modules.pe_imports.dll_name,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.pe_imports.import_names,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.signature_signer,keyword,custom,,,TODO
1.5.0-dev,true,process,process.modules.signature_status,keyword,custom,,,TODO
1.5.0-dev,true,process,process.name,keyword,extended,,ssh,Process name.
1.5.0-dev,true,process,process.name.text,text,extended,,ssh,Process name.
1.5.0-dev,true,process,process.num_threads,long,custom,,,TODO
1.5.0-dev,true,process,process.parent.args,keyword,extended,array,"['ssh', '-l', 'user', '10.0.0.16']",Array of process arguments.
1.5.0-dev,true,process,process.parent.args_count,long,extended,,4,Length of the process.args array.
1.5.0-dev,true,process,process.parent.code_signature.exists,boolean,core,,true,Boolean to capture if a signature is present.
1.5.0-dev,true,process,process.parent.code_signature.status,keyword,extended,,ERROR_UNTRUSTED_ROOT,Additional information about the certificate status.
1.5.0-dev,true,process,process.parent.code_signature.subject_name,keyword,core,,Microsoft Corporation,Subject name of the code signer
1.5.0-dev,true,process,process.parent.code_signature.trusted,boolean,extended,,true,Stores the trust status of the certificate chain.
1.5.0-dev,true,process,process.parent.code_signature.valid,boolean,extended,,true,Boolean to capture if the digital signature is verified against the binary content.
1.5.0-dev,true,process,process.parent.command_line,keyword,extended,,/usr/bin/ssh -l user 10.0.0.16,Full command line that started the process.
1.5.0-dev,true,process,process.parent.command_line.text,text,extended,,/usr/bin/ssh -l user 10.0.0.16,Full command line that started the process.
1.5.0-dev,true,process,process.parent.entity_id,keyword,extended,,c2c455d9f99375d,Unique identifier for the process.
1.5.0-dev,true,process,process.parent.executable,keyword,extended,,/usr/bin/ssh,Absolute path to the process executable.
1.5.0-dev,true,process,process.parent.executable.text,text,extended,,/usr/bin/ssh,Absolute path to the process executable.
1.5.0-dev,true,process,process.parent.exit_code,long,extended,,137,The exit code of the process.
1.5.0-dev,true,process,process.parent.hash.imphash,keyword,extended,,,Imphash.
1.5.0-dev,true,process,process.parent.hash.md5,keyword,extended,,,MD5 hash.
1.5.0-dev,true,process,process.parent.hash.sha1,keyword,extended,,,SHA1 hash.
1.5.0-dev,true,process,process.parent.hash.sha256,keyword,extended,,,SHA256 hash.
1.5.0-dev,true,process,process.parent.hash.sha512,keyword,extended,,,SHA512 hash.
1.5.0-dev,true,process,process.parent.name,keyword,extended,,ssh,Process name.
1.5.0-dev,true,process,process.parent.name.text,text,extended,,ssh,Process name.
1.5.0-dev,true,process,process.parent.pgid,long,extended,,,Identifier of the group of processes the process belongs to.
1.5.0-dev,true,process,process.parent.pid,long,core,,4242,Process id.
1.5.0-dev,true,process,process.parent.ppid,long,extended,,4241,Parent process' pid.
1.5.0-dev,true,process,process.parent.start,date,extended,,2016-05-23T08:05:34.853Z,The time the process started.
1.5.0-dev,true,process,process.parent.thread.id,long,extended,,4242,Thread ID.
1.5.0-dev,true,process,process.parent.thread.name,keyword,extended,,thread-0,Thread name.
1.5.0-dev,true,process,process.parent.title,keyword,extended,,,Process title.
1.5.0-dev,true,process,process.parent.title.text,text,extended,,,Process title.
1.5.0-dev,true,process,process.parent.uptime,long,extended,,1325,Seconds the process has been up.
1.5.0-dev,true,process,process.parent.working_directory,keyword,extended,,/home/alice,The working directory of the process.
1.5.0-dev,true,process,process.parent.working_directory.text,text,extended,,/home/alice,The working directory of the process.
1.5.0-dev,true,process,process.pe.company,keyword,extended,,Microsoft Corporation,"Internal company name of the file, provided at compile-time."
1.5.0-dev,true,process,process.pe.description,keyword,extended,,Paint,"Internal description of the file, provided at compile-time."
1.5.0-dev,true,process,process.pe.file_version,keyword,extended,,6.3.9600.17415,Process name.
